person_id,x,y,cluster
Grp20220712.15.1,21.555580,1.735680,-1
Grp20220712.15.1,21.467207,1.809027,-1
Grp20220712.15.1,21.408386,1.823036,-1
Grp20220712.15.1,21.366434,1.847243,-1
Grp20220712.15.1,21.329821,1.876181,-1
Grp20220712.15.1,21.577129,1.920584,-1
Grp20220712.15.1,21.646757,1.924942,-1
Grp20220712.15.1,21.682358,1.912874,-1
Grp20220712.15.1,21.599438,1.930033,-1
Grp20220712.15.1,21.637201,1.911678,-1
Grp20220712.15.1,21.573505,1.954974,-1
Grp20220712.15.1,21.620211,1.941927,-1
Grp20220712.15.1,21.633564,1.910949,-1
Grp20220712.15.1,21.555527,1.907406,-1
Grp20220712.15.1,21.500937,1.922188,-1
Grp20220712.15.1,21.554043,1.893645,-1
Grp20220712.15.1,21.586075,1.851654,-1
Grp20220712.15.1,21.534796,1.820891,-1
Grp20220712.15.1,21.461151,1.820703,-1
Grp20220712.15.1,21.415609,1.786950,-1
Grp20220712.15.1,21.364330,1.790411,-1
Grp20220712.15.1,21.347506,1.773093,-1
Grp20220712.15.1,21.315845,1.788876,-1
Grp20220712.15.1,21.281445,1.738553,-1
Grp20220712.15.1,21.343212,1.703473,-1
Grp20220712.15.1,21.316351,1.668910,-1
Grp20220712.15.1,21.297533,1.626109,-1
Grp20220712.15.1,21.282829,1.611409,-1
Grp20220712.15.1,21.276991,1.607561,-1
Grp20220712.15.1,21.252403,1.573803,-1
Grp20220712.15.1,21.237291,1.553242,-1
Grp20220712.15.1,21.224398,1.521397,-1
Grp20220712.15.1,21.108852,1.702145,-1
Grp20220712.15.1,21.214399,1.488238,-1
Grp20220712.15.1,21.217810,1.503358,-1
Grp20220712.15.1,21.208313,1.548733,-1
Grp20220712.15.1,21.203459,1.506592,-1
Grp20220712.15.1,21.192232,1.499483,-1
Grp20220712.15.1,21.170568,1.542024,-1
Grp20220712.15.1,21.129860,1.763321,-1
Grp20220712.15.1,21.160793,1.570050,-1
Grp20220712.15.1,21.403704,1.733965,-1
Grp20220712.15.1,21.156763,1.616804,-1
Grp20220712.15.1,21.153620,1.665621,-1
Grp20220712.15.1,21.125710,1.713488,-1
Grp20220712.15.1,21.106787,1.745440,-1
Grp20220712.15.1,21.089085,1.782927,-1
Grp20220712.15.1,21.092474,1.759540,-1
Grp20220712.15.1,21.098804,1.752976,-1
Grp20220712.15.1,22.005840,1.923165,-1
Grp20220712.15.1,21.109705,1.756538,-1
Grp20220712.15.1,21.116650,1.750805,-1
Grp20220712.15.1,21.115662,1.736992,-1
Grp20220712.15.1,21.108030,1.721273,-1
Grp20220712.15.1,21.107677,1.743377,-1
Grp20220712.15.1,21.118488,1.773925,-1
Grp20220712.15.1,21.145607,1.729354,-1
Grp20220712.15.1,21.145031,1.698477,-1
Grp20220712.15.1,21.169386,1.683714,-1
Grp20220712.15.1,21.583590,1.756609,-1
Grp20220712.15.1,21.765553,1.861124,-1
Grp20220712.15.1,21.852623,1.907703,-1
Grp20220712.15.1,21.927866,1.945509,-1
Grp20220712.15.1,21.923235,1.959947,-1
Grp20220712.15.1,21.963631,1.960782,-1
Grp20220712.15.1,21.918703,1.938539,-1
Grp20220712.15.1,21.882984,1.914234,-1
Grp20220712.15.1,21.826893,1.949731,-1
Grp20220712.15.1,21.761662,1.969256,-1
Grp20220712.15.1,21.701488,1.977287,-1
Grp20220712.15.1,21.693203,1.937826,-1
Grp20220712.15.1,21.680998,1.893556,-1
Grp20220712.15.1,21.670525,1.854987,-1
Grp20220712.15.1,21.721334,1.857904,-1
Grp20220712.15.1,21.820549,1.871515,-1
Grp20220712.15.1,21.923094,1.900264,-1
Grp20220712.15.1,22.060856,1.941067,-1
Grp20220712.15.1,22.109894,1.956134,-1
Grp20220712.15.1,22.077309,1.935107,-1
Grp20220712.15.1,22.015827,1.905834,-1
Grp20220712.15.1,21.975426,1.891269,-1
Grp20220712.15.1,21.913263,1.870829,-1
Grp20220712.15.1,21.820127,1.853746,-1
Grp20220712.15.1,21.728357,1.832901,-1
Grp20220712.15.1,21.600069,1.844997,-1
Grp20220712.15.1,21.511766,1.835747,-1
Grp20220712.15.1,21.419533,1.849657,-1
Grp20220712.15.1,21.296333,1.848193,-1
Grp20220712.15.1,21.198799,1.837924,-1
Grp20220712.15.1,21.117931,1.846983,-1
Grp20220712.15.1,20.989155,1.895386,-1
Grp20220712.15.1,20.660719,2.213251,-1
Grp20220712.15.1,20.641092,2.187621,-1
Grp20220712.15.1,20.590183,2.222358,-1
Grp20220712.15.1,20.560095,2.251358,-1
Grp20220712.15.1,20.549139,2.233679,-1
Grp20220712.15.1,20.464409,2.219273,-1
Grp20220712.15.1,20.387825,2.240097,-1
Grp20220712.15.1,20.447678,2.098878,-1
Grp20220712.15.1,20.327721,2.254580,-1
Grp20220712.15.1,20.341631,2.214765,-1
Grp20220712.15.1,20.394297,2.171746,-1
Grp20220712.15.1,20.434069,2.138718,-1
Grp20220712.15.1,20.481344,2.064617,-1
Grp20220712.15.1,20.506203,2.029667,-1
Grp20220712.15.1,20.534597,2.022745,-1
Grp20220712.15.1,20.566828,2.021227,-1
Grp20220712.15.1,20.611952,2.018789,-1
Grp20220712.15.1,20.629301,2.008571,-1
Grp20220712.15.1,20.643820,2.006833,-1
Grp20220712.15.1,20.657391,1.973898,-1
Grp20220712.15.1,20.636038,2.026392,-1
Grp20220712.15.1,20.623018,2.060897,-1
Grp20220712.15.1,20.627052,2.092268,-1
Grp20220712.15.1,20.668234,2.083040,-1
Grp20220712.15.1,20.678864,2.070134,-1
Grp20220712.15.1,20.687927,2.053212,-1
Grp20220712.15.1,20.706078,2.034856,-1
Grp20220712.15.1,20.725954,2.015418,-1
Grp20220712.15.1,20.744251,2.002234,-1
Grp20220712.15.1,20.748226,2.013139,-1
Grp20220712.15.1,20.738550,2.022986,-1
Grp20220712.15.1,20.714140,2.027866,-1
Grp20220712.15.1,20.717518,2.037523,-1
Grp20220712.15.1,20.725500,2.052927,-1
Grp20220712.15.1,20.742657,2.060799,-1
Grp20220712.15.1,20.735945,2.064204,-1
Grp20220712.15.1,20.722065,2.069195,-1
Grp20220712.15.1,20.697567,2.068505,-1
Grp20220712.15.1,20.662888,2.115072,-1
Grp20220712.15.1,20.627138,2.165336,-1
Grp20220712.15.1,20.597425,2.211248,-1
Grp20220712.15.1,20.577574,2.206482,-1
Grp20220712.15.1,20.544418,2.203129,-1
Grp20220712.15.1,20.509611,2.203053,-1
Grp20220712.15.1,20.513704,2.207305,-1
Grp20220712.15.1,20.516027,2.207598,-1
Grp20220712.15.1,20.525799,2.208561,-1
Grp20220712.15.1,20.525389,2.216101,-1
Grp20220712.15.1,20.506891,2.227436,-1
Grp20220712.15.1,20.483194,2.230262,-1
Grp20220712.15.1,20.480415,2.216398,-1
Grp20220712.15.1,20.461493,2.223400,-1
Grp20220712.15.1,20.446877,2.233520,-1
Grp20220712.15.1,20.441511,2.231574,-1
Grp20220712.15.1,20.444952,2.222000,-1
Grp20220712.15.1,20.417585,2.225225,-1
Grp20220712.15.1,20.422901,2.229688,-1
Grp20220712.15.1,20.433224,2.233738,-1
Grp20220712.15.1,20.444389,2.228540,-1
Grp20220712.15.1,20.442633,2.222007,-1
Grp20220712.15.1,20.437277,2.237592,-1
Grp20220712.15.1,20.431774,2.241558,-1
Grp20220712.15.1,20.448481,2.223806,-1
Grp20220712.15.1,20.464380,2.229155,-1
Grp20220712.15.1,20.438929,2.282697,-1
Grp20220712.15.1,20.372040,2.369973,-1
Grp20220712.15.1,20.340731,2.419481,-1
Grp20220712.15.1,20.276291,2.494887,-1
Grp20220712.15.1,20.274374,2.527811,-1
Grp20220712.15.1,20.276047,2.544922,-1
Grp20220712.15.1,20.281847,2.577058,-1
Grp20220712.15.1,20.262327,2.604770,-1
Grp20220712.15.1,20.261375,2.619628,-1
Grp20220712.15.1,20.244947,2.644908,-1
Grp20220712.15.1,20.260113,2.662421,-1
Grp20220712.15.1,20.268414,2.673975,-1
Grp20220712.15.1,20.280291,2.686183,-1
Grp20220712.15.1,20.337999,2.613160,-1
Grp20220712.15.1,20.397455,2.532624,-1
Grp20220712.15.1,20.442661,2.476986,-1
Grp20220712.15.1,20.415169,2.522291,-1
Grp20220712.15.1,20.382790,2.565845,-1
Grp20220712.15.1,20.398418,2.557213,-1
Grp20220712.15.1,20.339706,2.595798,-1
Grp20220712.15.1,20.293867,2.627668,-1
Grp20220712.15.1,20.245443,2.663952,-1
Grp20220712.15.1,20.219156,2.693463,-1
Grp20220712.15.1,20.210938,2.722853,-1
Grp20220712.15.1,20.202814,2.747087,-1
Grp20220712.15.1,20.224953,2.729495,-1
Grp20220712.15.1,20.229269,2.706371,-1
Grp20220712.15.1,20.233971,2.681496,-1
Grp20220712.15.1,20.251492,2.656619,-1
Grp20220712.15.1,20.264360,2.635983,-1
Grp20220712.15.1,20.284376,2.611907,-1
Grp20220712.15.1,20.295771,2.577342,-1
Grp20220712.15.1,20.304626,2.547990,-1
Grp20220712.15.1,20.316227,2.527107,-1
Grp20220712.15.1,20.322071,2.508585,-1
Grp20220712.15.1,20.330442,2.500037,-1
Grp20220712.15.1,20.347267,2.498104,-1
Grp20220712.15.1,20.353470,2.480918,-1
Grp20220712.15.1,20.346590,2.479312,-1
Grp20220712.15.1,20.323414,2.479305,-1
Grp20220712.15.1,20.318245,2.477176,-1
Grp20220712.15.1,20.385298,2.416480,-1
Grp20220712.15.1,20.432308,2.370826,-1
Grp20220712.15.1,20.402824,2.326434,-1
Grp20220712.15.1,20.361322,2.292128,-1
Grp20220712.15.1,20.330095,2.248509,-1
Grp20220712.15.1,20.394079,2.216150,-1
Grp20220712.15.1,20.439545,2.214412,-1
Grp20220712.15.1,20.474749,2.219921,-1
Grp20220712.15.1,20.549007,2.155103,-1
Grp20220712.15.1,20.536268,2.167430,-1
Grp20220712.15.1,20.575687,2.108270,-1
Grp20220712.15.1,20.642145,2.026915,-1
Grp20220712.15.1,20.689617,1.975692,-1
Grp20220712.15.1,20.722425,1.936725,-1
Grp20220712.15.1,20.620794,1.957514,-1
Grp20220712.15.1,20.557110,1.943360,-1
Grp20220712.15.1,20.479874,1.928708,-1
Grp20220712.15.1,20.507759,1.912764,-1
Grp20220712.15.1,20.522676,1.934032,-1
Grp20220712.15.1,20.532166,1.946761,-1
Grp20220712.15.1,20.457703,1.956352,-1
Grp20220712.15.1,20.372879,1.973487,-1
Grp20220712.15.1,20.296095,1.987249,-1
Grp20220712.15.1,20.305700,2.112984,-1
Grp20220712.15.1,20.338985,1.988526,-1
Grp20220712.15.1,20.362576,1.999921,-1
Grp20220712.15.1,20.379992,2.016025,-1
Grp20220712.15.1,20.390770,2.027828,-1
Grp20220712.15.1,20.403727,2.016504,-1
Grp20220712.15.1,20.391943,2.034710,-1
Grp20220712.15.1,20.239536,2.229967,-1
Grp20220712.15.1,20.102772,2.288103,-1
Grp20220712.15.1,19.963213,2.408122,-1
Grp20220712.15.1,19.852049,2.493574,-1
Grp20220712.15.1,19.723536,2.583595,-1
Grp20220712.15.1,19.650337,2.645496,-1
Grp20220712.15.1,19.623480,2.675646,-1
Grp20220712.15.1,19.610472,2.710562,-1
Grp20220712.15.1,19.487082,2.858202,-1
Grp20220712.15.1,19.404757,2.804590,-1
Grp20220712.15.1,19.329340,2.760417,-1
Grp20220712.15.1,19.353500,2.755267,-1
